,date,ticker,ret,mkt,rf
5,2010-01-01,AAPL,-0.0886,-0.0336,0.0
35,2010-02-01,AAPL,0.0654,0.034,0.0
65,2010-03-01,AAPL,0.1485,0.0631,0.0001
95,2010-04-01,AAPL,0.111,0.02,0.0001
125,2010-05-01,AAPL,-0.0161,-0.0789,0.0001
155,2010-06-01,AAPL,-0.0208,-0.0556,0.0001
185,2010-07-01,AAPL,0.0227,0.0693,0.0001
215,2010-08-01,AAPL,-0.055,-0.0477,0.0001
245,2010-09-01,AAPL,0.1672,0.0954,0.0001
275,2010-10-01,AAPL,0.0607,0.0388,0.0001
305,2010-11-01,AAPL,0.0338,0.006,0.0001
335,2010-12-01,AAPL,0.0367,0.0682,0.0001
365,2011-01-01,AAPL,0.052,0.0199,0.0001
395,2011-02-01,AAPL,0.0409,0.0349,0.0001
425,2011-03-01,AAPL,-0.0133,0.0045,0.0001
455,2011-04-01,AAPL,0.0047,0.029,0.0
485,2011-05-01,AAPL,-0.0066,-0.0127,0.0
515,2011-06-01,AAPL,-0.035,-0.0175,0.0
545,2011-07-01,AAPL,0.1633,-0.0236,0.0
575,2011-08-01,AAPL,-0.0145,-0.0599,0.0001
605,2011-09-01,AAPL,-0.0091,-0.0759,0.0
635,2011-10-01,AAPL,0.0615,0.1135,0.0
665,2011-11-01,AAPL,-0.0558,-0.0028,0.0
695,2011-12-01,AAPL,0.0597,0.0074,0.0
725,2012-01-01,AAPL,0.1271,0.0505,0.0
755,2012-02-01,AAPL,0.1883,0.0442,0.0
785,2012-03-01,AAPL,0.1053,0.0311,0.0
815,2012-04-01,AAPL,-0.026,-0.0085,0.0
845,2012-05-01,AAPL,-0.0107,-0.0619,0.0001
875,2012-06-01,AAPL,0.0109,0.0389,0.0
905,2012-07-01,AAPL,0.0458,0.0079,0.0
935,2012-08-01,AAPL,0.0935,0.0255,0.0001
965,2012-09-01,AAPL,0.0028,0.0273,0.0001
995,2012-10-01,AAPL,-0.1076,-0.0176,0.0001
1025,2012-11-01,AAPL,-0.0124,0.0078,0.0001
1055,2012-12-01,AAPL,-0.0907,0.0118,0.0001
1085,2013-01-01,AAPL,-0.1441,0.0557,0.0
1115,2013-02-01,AAPL,-0.0251,0.0129,0.0
1145,2013-03-01,AAPL,0.0029,0.0403,0.0
1175,2013-04-01,AAPL,0.0003,0.0155,0.0
1205,2013-05-01,AAPL,0.0226,0.028,0.0
1235,2013-06-01,AAPL,-0.1183,-0.012,0.0
1265,2013-07-01,AAPL,0.1412,0.0565,0.0
1295,2013-08-01,AAPL,0.0834,-0.0271,0.0
1325,2013-09-01,AAPL,-0.0215,0.0377,0.0
1355,2013-10-01,AAPL,0.0964,0.0418,0.0
1385,2013-11-01,AAPL,0.0697,0.0312,0.0
1415,2013-12-01,AAPL,0.0089,0.0281,0.0
1445,2014-01-01,AAPL,-0.1077,-0.0332,0.0
1475,2014-02-01,AAPL,0.0573,0.0465,0.0
1505,2014-03-01,AAPL,0.02,0.0043,0.0
1535,2014-04-01,AAPL,0.0994,-0.0019,0.0
1565,2014-05-01,AAPL,0.0783,0.0206,0.0
1595,2014-06-01,AAPL,0.0277,0.0261,0.0
1625,2014-07-01,AAPL,0.0287,-0.0204,0.0
1655,2014-08-01,AAPL,0.0771,0.0424,0.0
1685,2014-09-01,AAPL,-0.0171,-0.0197,0.0
1715,2014-10-01,AAPL,0.072,0.0252,0.0
1745,2014-11-01,AAPL,0.1056,0.0255,0.0
1775,2014-12-01,AAPL,-0.0719,-0.0006,0.0
1805,2015-01-01,AAPL,0.0614,-0.0311,0.0
1835,2015-02-01,AAPL,0.1005,0.0613,0.0
1865,2015-03-01,AAPL,-0.0314,-0.0112,0.0
1895,2015-04-01,AAPL,0.0058,0.0059,0.0
1925,2015-05-01,AAPL,0.0451,0.0136,0.0
1955,2015-06-01,AAPL,-0.0373,-0.0153,0.0
1985,2015-07-01,AAPL,-0.0329,0.0154,0.0
2015,2015-08-01,AAPL,-0.0661,-0.0604,0.0
2045,2015-09-01,AAPL,-0.0218,-0.0308,0.0
2075,2015-10-01,AAPL,0.0834,0.0775,0.0
2105,2015-11-01,AAPL,-0.0057,0.0056,0.0
2135,2015-12-01,AAPL,-0.1102,-0.0217,0.0001
2165,2016-01-01,AAPL,-0.0752,-0.0577,0.0001
2195,2016-02-01,AAPL,-0.0013,-0.0007,0.0002
2225,2016-03-01,AAPL,0.1272,0.0696,0.0002
2255,2016-04-01,AAPL,-0.1399,0.0092,0.0001
2285,2016-05-01,AAPL,0.0714,0.0178,0.0001
2315,2016-06-01,AAPL,-0.0427,-0.0005,0.0002
2345,2016-07-01,AAPL,0.0901,0.0395,0.0002
2375,2016-08-01,AAPL,0.0236,0.005,0.0002
2405,2016-09-01,AAPL,0.0655,0.0025,0.0002
2435,2016-10-01,AAPL,0.0043,-0.0202,0.0002
2465,2016-11-01,AAPL,-0.0216,0.0486,0.0001
2495,2016-12-01,AAPL,0.048,0.0182,0.0003
2525,2017-01-01,AAPL,0.0477,0.0194,0.0004
2555,2017-02-01,AAPL,0.1336,0.0357,0.0004
2585,2017-03-01,AAPL,0.0487,0.0017,0.0003
2615,2017-04-01,AAPL,-0.0001,0.0109,0.0005
2645,2017-05-01,AAPL,0.0678,0.0106,0.0006
2675,2017-06-01,AAPL,-0.0572,0.0078,0.0006
2705,2017-07-01,AAPL,0.0327,0.0187,0.0007
2735,2017-08-01,AAPL,0.1069,0.0016,0.0009
2765,2017-09-01,AAPL,-0.0602,0.0251,0.0009
2795,2017-10-01,AAPL,0.0968,0.0225,0.0009
2824,2017-11-01,AAPL,0.0204,0.0312,0.0008
2853,2017-12-01,AAPL,-0.0152,0.0106,0.0009
2882,2018-01-01,AAPL,-0.0106,0.0558,0.0011
2911,2018-02-01,AAPL,0.0676,-0.0365,0.0011
2940,2018-03-01,AAPL,-0.0581,-0.0235,0.0012
2969,2018-04-01,AAPL,-0.015,0.0029,0.0014
2998,2018-05-01,AAPL,0.1352,0.0265,0.0014
3027,2018-06-01,AAPL,-0.0094,0.0048,0.0014
3056,2018-07-01,AAPL,0.028,0.0319,0.0016
3085,2018-08-01,AAPL,0.2001,0.0344,0.0016
3114,2018-09-01,AAPL,-0.0083,0.0006,0.0015
3143,2018-10-01,AAPL,-0.0305,-0.0768,0.0019
3172,2018-11-01,AAPL,-0.1807,0.0169,0.0018
3201,2018-12-01,AAPL,-0.1167,-0.0955,0.0019
3230,2019-01-01,AAPL,0.0552,0.0841,0.0021
3259,2019-02-01,AAPL,0.0447,0.034,0.0018
3288,2019-03-01,AAPL,0.097,0.011,0.0019
3317,2019-04-01,AAPL,0.0564,0.0396,0.0021
3346,2019-05-01,AAPL,-0.1237,-0.0694,0.0021
3376,2019-06-01,AAPL,0.1305,0.0693,0.0018
3406,2019-07-01,AAPL,0.0764,0.0119,0.0019
3436,2019-08-01,AAPL,-0.0166,-0.0258,0.0016
3466,2019-09-01,AAPL,0.073,0.0144,0.0018
3496,2019-10-01,AAPL,0.1107,0.0206,0.0015
3526,2019-11-01,AAPL,0.0774,0.0387,0.0012
